flag,S,T,Patm,P,pH,CO2,fCO2,pCO2,fCO2pot,pCO2pot,fCO2insitu,pCO2insitu,HCO3,CO3,DIC,ALK,OmegaAragonite,OmegaCalcite,SIR,lon,lat
8,34.41700744628906,0.20528680086135864,1,0,8.191814422607422,1.6586333469124398e-5,264.71716091692883,265.88257558975056,264.71716091692883,265.88257558975056,264.71716091692883,265.8825769953714,0.001952378825968756,1.2433239852675449e-4,0.0020932975579646346,0.002266952880859375,1.8776656284799504,2.991383401502137,0.30365365402582617,-8.5,71.5
8,34.47378921508789,0.5109050273895264,1,0,8.192635536193848,1.6381843680332222e-5,264.66659228925056,265.8269698464703,264.66659228925056,265.8269698464703,264.66659228925056,265.82697124217543,0.001950589728145291,1.2613085467581923e-4,0.0020931024265014426,0.002269583984375,1.9043584002440461,3.0329024629030985,0.3039495250355322,-7.5,71.5
8,34.53373336791992,0.921593189239502,1,0,8.19338321685791,1.6127762925882334e-5,264.82279442876967,265.977424558226,264.82279442876967,265.977424558226,264.82279442876967,265.97742594307,0.0019481972062724555,1.2842570061598742e-4,0.0020927506698143255,0.002272809326171875,1.9385067782040664,3.0859626508414775,0.3040997989979438,-6.5,71.5
8,34.59421920776367,1.415642261505127,1,0,8.193984031677246,1.5841670207845415e-5,265.19514489403923,266.34371123682587,265.19514489403923,266.34371123682587,265.19514489403923,266.3437126106393,0.0019453471385923876,1.311085044029504e-4,0.0020922973132031833,0.00227650537109375,1.978529105432784,3.14804880027503,0.30407529880647083,-5.5,71.5
8,34.65894317626953,1.9259792566299438,1,0,8.194355010986328,1.5564638522158523e-5,265.76664968550625,266.90980226320863,265.76664968550625,266.90980226320863,265.76664968550625,266.9098036276465,0.0019427499681496756,1.3388746267428166e-4,0.0020922020693461157,0.00228067236328125,2.0200316507174283,3.2122781641966247,0.3039288462878516,-4.5,71.5
8,34.727577209472656,2.47501277923584,1,0,8.194164276123047,1.5084586161176465e-5,263.0649605164152,264.1881641446318,263.0649605164152,264.1881641446318,263.0649605164152,264.1881654655409,0.0019417148963823934,1.360549534829669e-4,0.002092854436026537,0.0022852021484375,2.0523581470129684,3.2616274719777048,0.3036335369232193,-3.5,71.5
8,34.79677963256836,3.0599608421325684,1,0,8.193380355834961,1.482742699038091e-5,264.40174436741484,265.52183020873656,264.40174436741484,265.52183020873656,264.40174436741484,265.52183152619057,0.0019390854535889573,1.3912192689423457e-4,0.002093034807473573,0.002289940673828125,2.0983509744118303,3.3323982709594344,0.30267552491938365,-2.5,71.5
8,34.86100769042969,3.649033784866333,1,0,8.192167282104492,1.4591362658057547e-5,266.02653169985234,267.14464989190276,266.02653169985234,267.14464989190276,266.02653169985234,267.1446512085955,0.001936579941346511,1.4212414457352913e-4,0.0020932954485780976,0.00229462060546875,2.14351347968722,3.401653533539841,0.30144127033474655,-1.5,71.5
8,34.920101165771484,4.2053937911987305,1,0,8.190669059753418,1.4386868389919876e-5,267.7951931491483,268.9124139308884,267.7951931491483,268.9124139308884,267.7951931491483,268.9124152490946,0.0019343320370507357,1.4489579260944837e-4,0.002093614698050104,0.0022989873046875,2.1853258037902816,3.465536734490167,0.30005445866563213,-0.5,71.5
8,34.97205352783203,4.739199161529541,1,0,8.188737869262695,1.421319743560648e-5,269.8244064533035,270.94211591809443,269.8244064533035,270.94211591809443,269.8244064533035,270.9421172409198,0.0019323239196999294,1.4742465653241695e-4,0.002093961773667953,0.002302988525390625,2.223622585593789,3.523786893570885,0.2984130415416639,0.5,71.5
8,35.011741638183594,5.264452934265137,1,0,8.186254501342773,1.4067289095149823e-5,272.2149018841003,273.33466979147187,272.2149018841003,273.33466979147187,272.2149018841003,273.33467112258035,0.0019304575710632325,1.497151506120906e-4,0.002094240010770473,0.00230652783203125,2.258533055424247,3.5766009156537537,0.29642495470871566,1.5,71.5
8,35.03732681274414,5.792178153991699,1,0,8.18317699432373,1.394484622779742e-5,275.0141184783615,276.13751508195577,275.0141184783615,276.13751508195577,275.0141184783615,276.13751642513216,0.0019286377126722396,1.517937628933757e-4,0.002094376321793413,0.002309570556640625,2.2905017761653417,3.624656181714451,0.294054377532471,2.5,71.5
8,35.04901123046875,6.316062927246094,1,0,8.179532051086426,1.3847270218553132e-5,278.2122805868913,279.3408972392381,278.2122805868913,279.3408972392381,278.2122805868913,279.3408985983418,0.0019269271870468625,1.536268980649327e-4,0.0020944013553303486,0.00231210107421875,2.319024063748034,3.667190703053227,0.2913381481261837,3.5,71.5
8,35.045589447021484,6.797800064086914,1,0,8.1753692626953125,1.378896983826988e-5,281.7501628611093,282.88589463425546,281.7501628611093,282.88589463425546,281.7501628611093,282.8858960137129,0.0019256124322822251,1.5500412878547746e-4,0.0020944055309059725,0.002313907470703125,2.3408574483240447,3.6992985105010527,0.2883620762817297,4.5,71.5
8,35.03874969482422,7.188027858734131,1,0,8.171326637268066,1.3767122418276976e-5,285.13487718514176,286.2783668853517,285.13487718514176,286.2783668853517,285.13487718514176,286.27836828630444,0.0019248779337694064,1.558945020425031e-4,0.0020945395582301863,0.002315138427734375,2.355273353910159,3.7200718881778037,0.2855813427124988,5.5,71.5
8,35.02873992919922,7.496572017669678,1,0,8.167491912841797,1.3773409699889335e-5,288.3058760704172,289.4574075246029,288.3058760704172,289.4574075246029,288.3058760704172,289.4574089473941,0.0019245854418048379,1.5637528038858108e-4,0.0020947341318933083,0.00231584423828125,2.3634028557823457,3.7313072776602025,0.2830278088591733,6.5,71.5
8,35.01261901855469,7.72870397567749,1,0,8.163887023925781,1.380463659912482e-5,291.2472708163528,292.40701702627337,291.2472708163528,292.40701702627337,291.2472708163528,292.4070184710054,0.0019246743252821607,1.5646995060094647e-4,0.002094948912482232,0.00231601708984375,2.365601746152022,3.733598846200697,0.2807012049360311,7.5,71.5
8,34.9911994934082,7.910314083099365,1,0,8.160518646240234,1.3848801378447685e-5,293.96443012562577,295.13221858477397,293.96443012562577,295.13221858477397,293.96443012562577,295.1322200508522,0.0019248735559624435,1.563235638551177e-4,0.002095045921196009,0.0023157333984375,2.364096017653924,3.7303389377076055,0.27856134609337146,8.5,71.5
8,34.965484619140625,8.057065963745117,1,0,8.157471656799316,1.3895668089856974e-5,296.39488521396123,297.5700748029258,296.39488521396123,297.5700748029258,296.39488521396123,297.57007628865733,0.0019249676985263332,1.560513536670247e-4,0.002094914720283215,0.002315056396484375,2.360646689531038,3.724225329500144,0.2766273415699129,9.5,71.5
8,34.934715270996094,8.178058624267578,1,0,8.15481185913086,1.3938828886389606e-5,298.48719385472134,299.6688148425658,298.48719385472134,299.6688148425658,298.48719385472134,299.66881634544404,0.0019248258714477076,1.55720864359602e-4,0.0020944855646936994,0.0023140166015625,2.356300510146525,3.7168687042757926,0.2749180827271468,10.5,71.5
8,34.89743423461914,8.272941589355469,1,0,8.152722358703613,1.3971713882969588e-5,300.08888164618105,301.27537935450795,300.08888164618105,301.27537935450795,300.08888164618105,301.27538087047947,0.001924325916714851,1.5538085465003146e-4,0.002093678485247852,0.002312611328125,2.351803265512117,3.7094596424053754,0.2735274946750071,11.5,71.5
